BEGIN
                 fact_ref                 |      kind       |                                 file                                 | line |               symbol_name               |    class_name    |   caller_class   |               caller_name               |                 method                  |                                                                                                                      description                                                                                                                       |          run_id          
 6d3647fb3c36847fb4a313de85c3e3cd5fa2ccb2 | call_expression | functions/src/modules/core/modules/access/services/access.service.ts |  150 | createAccess                            |                  | OSKAccessService | createAccess                            |                                         | call_expression in core/access: createAccess -- inside: OSKAccessService -- calls: OSKAccessService._getAuthorizedDoorsForStaffOrNonAppUser (functions/src/modules/core/modules/access/services/access.service.ts:150)                                 | 20260911_080454-00e1d9fd
 6d96bd48c3c4f2366e89a93858672463cc37c866 | call_expression | functions/src/modules/core/modules/access/services/access.service.ts |  517 | deleteAccessById                        |                  | OSKAccessService | deleteAccessById                        |                                         | call_expression in core/access: deleteAccessById -- inside: OSKAccessService -- calls: OSKUserDeviceAccessControlDeviceTokenController.default.deleteAllByTokenId (functions/src/modules/core/modules/access/services/access.service.ts:517)           | 20260911_080454-00e1d9fd
 6e6d633609ff4e16b3b60c77ab3668baea0941f4 | call_expression | functions/src/modules/core/modules/access/services/access.service.ts |  683 | _updateAccessRights                     |                  | OSKAccessService | _updateAccessRights                     |                                         | call_expression in core/access: _updateAccessRights -- inside: OSKAccessService -- calls: areTypeOSKPermanentGuestAccessRight (functions/src/modules/core/modules/access/services/access.service.ts:683)                                               | 20260911_080454-00e1d9fd
 6ea511a0b0456887f211fb29cf8275a633116b69 | call_expression | functions/src/modules/core/modules/access/services/access.service.ts |  424 | updateAccess                            |                  | OSKAccessService | updateAccess                            |                                         | call_expression in core/access: updateAccess -- inside: OSKAccessService -- calls: OSKAccessUtilsService.checkIsMainAccess (functions/src/modules/core/modules/access/services/access.service.ts:424)                                                  | 20260911_080454-00e1d9fd
 6f0ae5a318b2e98d64cdd2824b16e5f2967c1fdf | call_expression | functions/src/modules/core/modules/access/services/access.service.ts |  247 | createAccess                            |                  | OSKAccessService | createAccess                            |                                         | call_expression in core/access: createAccess -- inside: OSKAccessService -- calls: log (functions/src/modules/core/modules/access/services/access.service.ts:247)                                                                                      | 20260911_080454-00e1d9fd
 73d6a933e523a86297c93d2f6a9691ceff3f4394 | call_expression | functions/src/modules/core/modules/access/services/access.service.ts |  157 | createAccess                            |                  | OSKAccessService | createAccess                            |                                         | call_expression in core/access: createAccess -- inside: OSKAccessService -- calls: OSKSupplierStaffAccessService.setupSupplierStaffAccess (functions/src/modules/core/modules/access/services/access.service.ts:157)                                   | 20260911_080454-00e1d9fd
 756da43fec7df2e855038c030ed02af05fa9d47c | call_expression | functions/src/modules/core/modules/access/services/access.service.ts |  108 | getAllUserAccessesPerBuilding           |                  | OSKAccessService | getAllUserAccessesPerBuilding           |                                         | call_expression in core/access: getAllUserAccessesPerBuilding -- inside: OSKAccessService -- calls: OSKAccessService.logger.logError (functions/src/modules/core/modules/access/services/access.service.ts:108)                                        | 20260911_080454-00e1d9fd
 780a2e4ec2bc5b010d99a6262b096d53188fad5e | call_expression | functions/src/modules/core/modules/access/services/access.service.ts |  231 | createAccess                            |                  | OSKAccessService | createAccess                            |                                         | call_expression in core/access: createAccess -- inside: OSKAccessService -- calls: OSKAccessUtilsService.generateAccessId (functions/src/modules/core/modules/access/services/access.service.ts:231)                                                   | 20260911_080454-00e1d9fd
 7adfab0e3bab647c0c3881f2c9509976b8f48398 | call_expression | functions/src/modules/core/modules/access/services/access.service.ts |  284 | createAccess                            |                  | OSKAccessService | createAccess                            |                                         | call_expression in core/access: createAccess -- inside: OSKAccessService -- calls: OSKAccessUtilsService.checkIsMainAccess (functions/src/modules/core/modules/access/services/access.service.ts:284)                                                  | 20260911_080454-00e1d9fd
 7ceda4090d21fbc387fd85ea80c4d9c851b3f0d1 | call_expression | functions/src/modules/core/modules/access/services/access.service.ts |  576 | deleteAccessById                        |                  | OSKAccessService | deleteAccessById                        |                                         | call_expression in core/access: deleteAccessById -- inside: OSKAccessService -- calls: OSKAccessService.logger.logInfo (functions/src/modules/core/modules/access/services/access.service.ts:576)                                                      | 20260911_080454-00e1d9fd
